"set","placement","path","kind","mml","ownership","longTermRental"
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.nltCostOfCapital","assumption",0,0,6
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.fleetCostOfCapital","assumption",5,0,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.fleetDiscount","assumption",0,0,-5
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.maintenanceAgeFactorPerYear","assumption",1,2,1
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.maintenanceKmExponent","assumption",1,2,1
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","insurance.fleetDiscount","assumption",-2,0,-2
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.agencyFeeMonthly","assumption",2,0,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.marginShare","assumption",2,0,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.nltMarginShare","assumption",0,0,2
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.operationsMonthly","assumption",1,0,1
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.ownershipRepairProvisionShare","assumption",0,2,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.ownershipTaxMonthly","assumption",0,2,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.lifecycle.refurbishmentCost","assumption",2,0,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.materialCapitalFloorShare","assumption",-1,0,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","curves.materialValuePerKg","assumption",-1,0,0
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.nltDeductiblePerEvent","assumption",0,0,1
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.nltReturnConditionCharge","assumption",0,0,1
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","finance.unplannedEventsPerYear","assumption",0,0,1
"central","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 20000 km/yr","vehicle.kerbMassKg","evidence",-1,0,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","curves.conditionAdjustment.good","assumption",18,-19,-17
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","curves.curves.hev","assumption",18,-19,-17
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","vehicle.listPrice","evidence",18,-19,-17
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","energy.petrolPerLitre","assumption",11,11,11
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","energy.realUseUplift","assumption",11,11,11
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","vehicle.consumption.per100km","evidence",11,11,11
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","curves.referenceAnnualKm","assumption",7,-13,-12
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","vehicle.maintenancePerYear","evidence",5,5,5
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","vehicle.lifecycle.structuralLifeYears","assumption",-13,0,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.maintenanceReferenceAnnualKm","assumption",-3,-4,-3
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","insurance.comprehensiveShareOfValue","assumption",3,4,3
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.laterLifeConsumptionFactor","assumption",9,0,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","insurance.rcPremiumPerYear","evidence",3,3,3
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.nltCostOfCapital","assumption",0,0,7
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","curves.kmAdjustmentPer5000","assumption",-2,2,2
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.loanApr","evidence",0,6,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.tyresPerKm","assumption",2,2,2
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.fleetCostOfCapital","assumption",5,0,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.fleetDiscount","assumption",0,0,-5
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.loanFinancedShare","assumption",0,5,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.retailMaintenanceUplift","assumption",0,5,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","insurance.fleetDiscount","assumption",-2,0,-2
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.maintenanceAgeFactorPerYear","assumption",1,1,1
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.operationsMonthly","assumption",1,0,2
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.agencyFeeMonthly","assumption",2,0,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.marginShare","assumption",2,0,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.nltDeductiblePerEvent","assumption",0,0,2
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.nltMarginShare","assumption",0,0,2
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.nltReturnConditionCharge","assumption",0,0,2
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.ownershipTaxMonthly","assumption",0,2,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.unplannedEventsPerYear","assumption",0,0,2
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","vehicle.lifecycle.refurbishmentCost","assumption",2,0,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","curves.materialCapitalFloorShare","assumption",-1,0,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","curves.materialValuePerKg","assumption",-1,0,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","finance.ownershipRepairProvisionShare","assumption",0,1,0
"optimistic","What moves the answer: +10% on each input, Toyota Corolla Touring Sports Hybrid third-life at 15000 km/yr","vehicle.kerbMassKg","evidence",-1,0,0
